gid,aims_sector,coral_cover_2020,enrichment,reefs_supplied,score,enrichment_sector,reefs_supplied_sector,importance_sector
10-330,1,12.01335,0.004075764,0.226600985,0.230676749,0.004075764,0.336996337,0.341072101
10-331,1,5.841413125,0.040023105,0.438423645,0.478446751,0.040023105,0.652014652,0.692037757
10-332,1,8.733775,0.000389567,0.014778325,0.015167892,0.000389567,0.021978022,0.022367589
10-333,1,9.78425375,0.000254778,0.02955665,0.029811428,0.000254778,0.043956044,0.044210822
10-334,1,6.00000125,0.002569455,0.337438424,0.340007879,0.002569455,0.501831502,0.504400957
10-335,1,6.530923125,0.00514884,0.34729064,0.35243948,0.00514884,0.516483516,0.521632356
10-336,1,4.280844375,0.092468937,0.568965517,0.661434454,0.092468937,0.846153846,0.938622783
10-337,1,6.93614125,0.070880644,0.578817734,0.649698378,0.070880644,0.860805861,0.931686505
10-338,1,4.515605,0.032765895,0.418719212,0.451485107,0.032765895,0.622710623,0.655476517
10-339,1,7.223539375,0.000172403,0.229064039,0.229236443,0.000172403,0.340659341,0.340831744
10-340,1,7.41259625,0.000251447,0.206896552,0.207147998,0.000251447,0.307692308,0.307943754
10-341,1,6.777796875,0.004426675,0.42364532,0.428071996,0.004426675,0.63003663,0.634463305
10-342,1,12.05185938,0.000726214,0.123152709,0.123878923,0.000726214,0.183150183,0.183876397
10-299,1,4.94996625,0.015687339,0.522167488,0.537854827,0.015687339,0.776556777,0.792244116
10-316,1,12.15289875,0.106444842,0.630541872,0.736986714,0.106444842,0.937728938,1.04417378
10-317,1,8.567975,0.109753493,0.65270936,0.762462852,0.109753493,0.970695971,1.080449463
10-318a,1,9.292823125,0.027295616,0.435960591,0.463256207,0.027295616,0.648351648,0.675647264
10-318b,1,8.29374625,0.021542926,0.475369458,0.496912384,0.021542926,0.706959707,0.728502633
10-318c,1,7.061775,0.061401503,0.445812808,0.507214311,0.061401503,0.663003663,0.724405166
10-318d,1,8.250129375,0.048041834,0.492610837,0.540652672,0.048041834,0.732600733,0.780642567
10-320,1,7.25105,0.009463403,0.47044335,0.479906753,0.009463403,0.6996337,0.709097103
10-321,1,8.290623125,0.002770091,0.416256158,0.419026249,0.002770091,0.619047619,0.62181771
10-322,1,8.069943125,0.013207805,0.554187192,0.567394997,0.013207805,0.824175824,0.83738363
10-323,1,5.439414375,0.049226855,0.591133005,0.64035986,0.049226855,0.879120879,0.928347734
10-324,1,7.665874375,0.031594102,0.603448276,0.635042378,0.031594102,0.897435897,0.92903
10-325,1,4.552155625,0.001440283,0.349753695,0.351193978,0.001440283,0.52014652,0.521586804
10-326,1,5.11593,0.001126507,0.268472906,0.269599414,0.001126507,0.399267399,0.400393906
10-327,1,4.914425625,0.036672626,0.497536946,0.534209571,0.036672626,0.73992674,0.776599366
