gid,coral_cover_2020,karlo_shelf,aims_sector,score,enrichment_sector,reefs_supplied_sector,importance_sector,importance_10_sector
10-330,12.01335,1,1,0.227816706,0.003972424,0.322807018,0.326779441,8
10-331,5.841413125,1,1,0.499666934,0.044679099,0.656140351,0.70081945,10
10-332,8.733775,1,1,0.014983265,0.000384725,0.021052632,0.021437357,1
10-333,9.78425375,1,1,0.029448191,0.000251111,0.042105263,0.042356374,2
10-334,6.00000125,1,1,0.338509701,0.002743278,0.484210526,0.486953804,9
10-335,6.530923125,1,1,0.350796688,0.005297904,0.498245614,0.503543518,9
10-336,4.280844375,1,1,0.678345782,0.104136536,0.828070175,0.932206712,10
10-337,6.93614125,1,1,0.689712303,0.086305977,0.870175439,0.956481415,10
10-338,4.515605,1,1,0.464380847,0.033723913,0.621052632,0.654776545,10
10-339,7.223539375,1,1,0.226447922,1.71E-04,0.326315789,0.326486339,8
10-340,7.41259625,1,1,0.204626354,0.000246792,0.294736842,0.294983634,8
10-341,6.777796875,1,1,0.425254662,0.004330088,0.607017544,0.611347632,10
10-342,12.05185938,1,1,0.12236478,0.000710279,0.175438596,0.176148875,6
10-299,4.94996625,1,1,0.554457158,0.016744263,0.775438596,0.792182859,10
10-316,12.15289875,1,1,0.763196688,0.113561652,0.936842105,1.050403757,10
10-317,8.567975,1,1,0.792444188,0.118478251,0.971929825,1.090408076,10
10-318a,9.292823125,1,1,0.470307859,0.027485475,0.638596491,0.666081966,10
10-318b,8.29374625,1,1,0.513487421,0.029302506,0.698245614,0.72754812,10
10-318c,7.061775,1,1,0.512543592,0.059988847,0.652631579,0.712620426,10
10-318d,8.250129375,1,1,0.541481259,0.047563985,0.712280702,0.759844686,10
10-320,7.25105,1,1,0.488891916,0.009573181,0.69122807,0.700801251,10
10-321,8.290623125,1,1,0.426651725,0.00329406,0.610526316,0.613820376,10
10-322,8.069943125,1,1,0.585080402,0.018170426,0.81754386,0.835714286,10
10-323,5.439414375,1,1,0.666159711,0.057887205,0.877192982,0.935080187,10
10-324,7.665874375,1,1,0.660131321,0.039693365,0.894736842,0.934430207,10
10-325,4.552155625,1,1,0.346911784,0.001413001,0.498245614,0.499658615,9
10-326,5.11593,1,1,0.266304731,0.001097918,0.38245614,0.383554059,9
10-327,4.914425625,1,1,0.543088895,0.03700617,0.729824561,0.766830731,10
10-328,9.0911275,1,1,0.275098725,0.005025732,0.389473684,0.394499417,9
10-329,9.367189375,1,1,0.211323557,0.002077815,0.301754386,0.303832201,8
10-401,27.26666688,2,1,0.145989222,0.029200901,0.168421053,0.197621954,6
10-402,19.26609,3,1,0.177497014,0.033944703,0.207017544,0.240962247,7
10-403,24.83691813,3,1,0.184822825,0.055869054,0.185964912,0.241833966,7
10-404,28.0634225,2,1,0.201674242,0.05812193,0.207017544,0.265139474,7
10-405,24.7944475,2,1,0.201308163,0.074787481,0.18245614,0.257243622,7
10-406,18.07249688,3,1,0.162988638,0.034034867,0.185964912,0.219999779,7
10-407a,22.556335,3,1,0.063379125,0.017150414,0.066666667,0.083817081,3
10-343a,8.56900875,1,1,0.182893009,0.000411257,0.263157895,0.263569152,7
10-343b,6.4760575,1,1,0.179477124,0.001861552,0.256140351,0.258001903,7
10-344,9.0443175,1,1,0.381810633,0.06064275,0.463157895,0.523800644,9
10-348,6.89628375,2,1,0.24529297,0.006850147,0.343859649,0.350709796,8
10-349,7.990456875,2,1,0.22720755,0.013095628,0.30877193,0.321867558,8
10-350,9.652249375,2,1,0.05993711,0.003976039,0.080701754,0.084677794,3
10-351,6.08648875,2,1,0.297164241,0.010059618,0.414035088,0.424094706,9
10-352,5.9932125,2,1,0.241151795,0.005142063,0.340350877,0.34549294,8
10-353,4.980408125,1,1,0.315032233,0.00359671,0.449122807,0.452719517,9
10-354,6.145384375,2,1,0.253478245,0.005303062,0.357894737,0.363197799,8
10-355,7.29078125,2,1,0.261764093,0.00385655,0.371929825,0.375786375,8
10-356,6.78617125,2,1,0.288038225,0.003366692,0.410526316,0.413893008,9
10-357,6.01542875,2,1,0.317892598,0.008890165,0.445614035,0.4545042,9
10-358,6.10337125,2,1,0.297567235,0.017761882,0.403508772,0.421270654,9
10-359,7.612851875,2,1,0.10903738,0.016579959,0.133333333,0.149913292,5
10-360,4.40405875,2,1,0.31234714,0.003344707,0.445614035,0.448958742,9
10-361,8.80090375,2,1,0.119252335,0.007330194,0.161403509,0.168733703,6
10-362,5.8961225,2,1,0.241960229,0.008383587,0.336842105,0.345225692,8
10-363,5.870180625,2,1,0.707267866,0.14522407,0.810526316,0.955750386,10
10-364,5.774539375,2,1,0.282291993,0.00248664,0.403508772,0.405995412,9
10-365,5.79038375,2,1,0.270609791,0.002969888,0.385964912,0.3889348,9
10-366,5.47551625,2,1,0.185814412,0.000899571,0.266666667,0.267566237,7
10-367,5.312845625,2,1,0.165343394,0.007192543,0.228070175,0.235262718,7
10-368,5.523893125,2,1,0.168867203,0.003417081,0.238596491,0.242013572,7
10-369,5.992104375,2,1,0.16198923,0.006271468,0.224561404,0.230832872,7
10-370,6.484369375,2,1,0.451080481,0.047187537,0.58245614,0.629643678,10
10-371,6.556453125,2,1,0.60389151,0.080777155,0.754385965,0.835163119,10
10-372,5.842595,1,1,0.689323466,0.10051568,0.849122807,0.949638487,10
10-373,5.9469675,1,1,0.37410155,0.014004226,0.519298246,0.533302472,9
10-374,6.31006375,2,1,0.68161803,0.168236035,0.740350877,0.908586912,10
10-375a,5.39878,2,1,0.110218265,0.008028484,0.147368421,0.155396905,5
10-375b,6.5354925,2,1,0.113266691,0.01107691,0.147368421,0.158445331,5
10-376,5.164561875,1,1,0.143958463,0.005272331,0.2,0.205272331,6
10-378,6.823761875,2,1,0.181570867,0.018553835,0.235087719,0.253641554,7
10-381,43.42506813,3,1,0.128753507,0.065493166,0.09122807,0.156721237,5
10-382,26.94138125,2,1,0.268044561,0.092862079,0.252631579,0.345493658,8
10-384,29.09113438,3,1,0.129939628,0.039915297,0.129824561,0.169739858,6
10-385,25.90580125,3,1,0.090981875,0.020422264,0.101754386,0.12217665,4
10-386,21.52501688,3,1,0.109710115,0.024551964,0.122807018,0.147358982,5
10-387,14.52452813,2,1,0.212715221,0.027800379,0.266666667,0.294467046,8
10-389,21.59009,3,1,0.088890873,0.020764352,0.098245614,0.119009966,4
10-390,24.99955938,3,1,0.101128518,0.033001998,0.098245614,0.131247612,5
10-391,28.23971188,3,1,0.221609516,0.031828494,0.273684211,0.305512705,8
10-392,17.65724875,2,1,0.593380872,0.174889388,0.603508772,0.77839816,10
10-393,23.50578375,2,1,0.611911897,0.166656422,0.642105263,0.808761685,10
10-394,10.01081625,2,1,0.139175512,0.007788651,0.189473684,0.197262335,6
10-395,20.00021375,2,1,0.237779534,0.065030142,0.249122807,0.314152949,8
10-396,25.40847625,2,1,0.25348125,0.063700228,0.273684211,0.337384439,8
10-397,30.591665,2,1,0.141923478,0.044599877,0.140350877,0.184950755,6
10-398,23.79216313,3,1,0.183278269,0.012961968,0.245614035,0.258576003,7
10-399,23.01144688,3,1,0.270870895,0.029994982,0.347368421,0.377363403,9
10-400,23.750095,3,1,0.224118299,0.024604917,0.287719298,0.312324216,8
10-426,16.45780813,3,1,0.13709124,0.034901459,0.147368421,0.18226988,6
10-427,9.157855,2,1,0.251705502,0.04489285,0.298245614,0.343138464,8
10-428a,26.10904813,3,1,0.075991964,0.027330163,0.070175439,0.097505602,4
